"","Ageband","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","16-24",18.3857223930154,0.12780452748445,12.5967413441955,0.160139072938016,3779,1
"2","25-34",22.9411051487067,0.146360972329806,18.1733594515181,0.183390298329246,4057,1
"3","35-44",24.9836903873863,0.155572425584895,20,0.194932249257873,3241,1
"4","45-54",26.1476116335777,0.158759441413525,21.0559090184743,0.198925580091147,3402,1
"5","55-64",26.4808159932519,0.163187391864127,21.0559090184743,0.204473802005751,2958,1
"6","65+",25.6525799015374,0.125460299786689,20.755033557047,0.157201755632721,2892,1
"7","16-24",28.893354319851,0.200846146664989,19.7959102804481,0.251660221771231,3779,2
"8","25-34",36.0521857875083,0.230007793097621,28.5596237444662,0.288199764751319,4057,2
"9","35-44",39.2621297738315,0.244483687871337,31.4302084,0.306338060902785,3241,2
"10","45-54",41.0912441402805,0.249492116454734,33.0895804251043,0.312613621917782,3402,2
"11","55-64",41.614878263498,0.256450686727099,33.0895804251043,0.321332710469055,2958,2
"12","65+",40.3132966151487,0.197162168411105,32.616751502349,0.247044197019115,2892,2
"13","16-24",31.4360861430118,0.218521418391174,21.538030301589,0.273807337244141,3779,3
"14","25-34",39.2249236801601,0.250249407435992,31.0729859297166,0.313562507517298,4057,3
"15","35-44",42.7173556958838,0.265999239389254,34.1961936235415,0.333297046954735,3241,3
"16","45-54",44.7074395107495,0.27144842990711,36.0015970857711,0.340124882673609,3402,3
"17","55-64",45.2771555507308,0.279019382455322,36.0015970857711,0.349611286216518,2958,3
"18","65+",43.8610294628172,0.214513235178659,35.487157308994,0.26878508367886,2892,3
"19","16-24",35.1118215723783,0.244072529175186,24.0564131784574,0.305822879056508,3779,4
"20","25-34",43.8113865441897,0.279510385055972,34.7062650459037,0.350226512475133,4057,4
"21","35-44",47.7121790675304,0.297101801710771,38.1946608589251,0.372268557543596,3241,4
"22","45-54",49.9349579307691,0.303188151147099,40.2111652018503,0.379894753387315,3402,4
"23","55-64",50.5712893064927,0.311644354435142,40.2111652018503,0.390490376107232,2958,4
"24","65+",48.989579474785,0.239595680080582,39.6365733913509,0.30021338714097,2892,4
"25","16-24",47.6357352909943,0.331129912118802,32.6370116645066,0.414905779884859,3779,5
"26","25-34",59.4383178852856,0.379207973763587,47.0855222152969,0.475147591125775,4057,5
"27","35-44",64.7304705491373,0.403074011742682,51.8181818181818,0.505051736713581,3241,5
"28","45-54",67.7460846869967,0.411331280025952,54.5539460933197,0.515398093872517,3402,5
"29","55-64",68.6093868916071,0.422803697102511,54.5539460933197,0.529773032469446,2958,5
"30","65+",66.4635024721652,0.325056231265512,53.7744051250763,0.407295457775687,2892,5
