"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","Barking and Dagenham",41.4208598961582,0.892488432553652,41.4440783226706,1.11828800598973,136,1.718739869
"2","Barnet",45.5602388420581,1.44878865482929,38.3423123165555,1.8153321845011,61,1.718739869
"3","Barnsley",32.3752715029064,1.68874245564395,31.9871798087212,2.11599429692187,23,1.718739869
"4","Bath and North East Somerset",33.6153270912925,1.99790514198039,22.6983759923808,2.50337514290143,21,1.718739869
"5","Bedford",33.5896141738619,2.53104154897975,33.7741257816203,3.17139506087162,11,1.718739869
"6","Bexley",43.4824394547115,2.13334933868235,32.1752367526093,2.67308672136899,30,1.718739869
"7","Birmingham",48.5045048021293,0.571747080461311,40.3379539357252,0.716399091818022,622,1.718739869
"8","Blackburn with Darwen",44.8622232051086,3.23744029889328,33.1249540666223,4.05651269451328,32,1.718739869
"9","Blackpool",43.2321037988679,2.08443617201915,34.3912189627815,2.61179852353999,62,1.718739869
"10","Bolton",59.6710692614797,3.43303196874771,35.7948382354023,4.30158905684088,20,1.718739869
"11","Bournemouth, Christchurch and Poole",37.5039786375155,1.3427174217362,25.781098035,1.68242492943546,85,1.718739869
"12","Bracknell Forest",35.9337670639944,0,35.9337670639944,0,1,1.718739869
"13","Bradford",46.7623606541674,0.65171775380831,40.6711734927719,0.816602345521813,392,1.718739869
"14","Brent",46.019938864253,1.46181002574175,38.3077696928469,1.83164796225442,79,1.718739869
"15","Brighton and Hove",34.877263566272,0.726942426888912,23.8898934639876,0.910858860891806,360,1.718739869
"16","Bristol",34.233112574233,1.34034200071668,25.6714631663971,1.67944852689799,100,1.718739869
"17","Bromley",45.9424701817816,1.64968401218983,35.6725036569295,2.06705406727385,55,1.718739869
"18","Buckinghamshire",40.4581182777218,1.04292163594377,34.291632547629,1.30678080983755,94,1.718739869
"19","Bury",44.1755552856882,1.71479818753356,33.7473209198889,2.14864212897956,77,1.718739869
"20","Calderdale",44.1424484502181,2.48989616581901,35.8664207768599,3.11983989577121,50,1.718739869
"21","Cambridgeshire",39.0620027547698,0.574242863842019,31.9871798087212,0.71952630839405,375,1.718739869
"22","Camden",38.0880633843292,1.65795471458993,37.164747210622,2.07741725738118,50,1.718739869
"23","Central Bedfordshire",48.1398107379786,1.60297702710271,37.830626653968,2.00853021495969,53,1.718739869
"24","Cheshire East",51.7360913535687,4.30631718238759,26.2058380978267,5.39581542953164,14,1.718739869
"25","Cheshire West and Chester",29.2187149130421,2.12363035903413,20.2269883314767,2.66090883986977,13,1.718739869
"26","City of London",NA,0,NA,0,0,1.718739869
"27","Cornwall",34.2082793615827,0.585927382902424,28.372969990476,0.734167010776738,423,1.718739869
"28","County Durham",40.2605259248988,1.45372414376233,35.7024553812427,1.82151635213419,79,1.718739869
"29","Coventry",44.4739635768827,3.95512617508348,24.2602628604595,4.9557730973796,19,1.718739869
