"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","Barking and Dagenham",27.3141237898361,0.588532917686441,27.3294346978557,0.73743174586111,136,1
"2","Barnet",30.0437510651945,0.955373518621416,25.2840396753832,1.19708301883263,61,1
"3","Barnsley",21.3491988282445,1.1136060573887,21.0932798395185,1.39534838990805,23,1
"4","Bath and North East Somerset",22.1669276714498,1.31747695497418,14.9679715302491,1.65079862458264,21,1
"5","Bedford",22.1499718233226,1.6690426601323,22.2716441620334,2.09131045314578,11,1
"6","Bexley",28.6735895132926,1.40679281091263,21.2172900763359,1.76271139207353,30,1
"7","Birmingham",31.9852859610223,0.377026710004301,26.6000239973603,0.472414467635389,622,1
"8","Blackburn with Darwen",29.583459184179,2.13486261047846,21.8435613885523,2.67498285092952,32,1
"9","Blackpool",28.5085108763483,1.37453804139454,22.6785734141627,1.72229616586736,62,1
"10","Bolton",39.3488444364988,2.26384146548191,23.6041609239894,2.83659335624883,20,1
"11","Bournemouth, Christchurch and Poole",24.7312179825479,0.885427052070296,17.0008084074373,1.10944009624408,85,1
"12","Bracknell Forest",23.6957746478873,0,23.6957746478873,0,1,1
"13","Bradford",30.8364652693113,0.429761705772921,26.8197586975376,0.53849141733347,392,1
"14","Brent",30.3468906751374,0.963960190600416,25.2612612612613,1.20784211882232,79,1
"15","Brighton and Hove",22.9990854098191,0.479367050464572,15.7536929227748,0.600646914232108,360,1
"16","Bristol",22.5743134475757,0.883860630128722,16.9285119756344,1.10747736955129,100,1
"17","Bromley",30.2958055651671,1.08784977994254,23.5234899328859,1.363075774268,55,1
"18","Buckinghamshire",26.6792638711979,0.6877329620554,22.6129032258065,0.861729401455416,94,1
"19","Bury",29.1306503192598,1.13078796737444,22.2539682539682,1.41687732312018,77,1
"20","Calderdale",29.1088187058026,1.64191019374097,23.6513645408015,2.05731347275743,50,1
"21","Cambridgeshire",25.7586245528829,0.378672502399346,21.0932798395185,0.47447664550638,375,1
"22","Camden",25.116380509792,1.09330372246695,24.5075188799508,1.36990956425108,50,1
"23","Central Bedfordshire",31.7447960523482,1.05704983093815,24.9466192170818,1.3244834381655,53,1
"24","Cheshire East",34.1162884396013,2.83971122021401,17.2808943999454,3.55815815892815,14,1
"25","Cheshire West and Chester",19.2676732959082,1.40038383210611,13.338266384778,1.75468094162896,13,1
"26","City of London",NA,0,NA,0,0,1
"27","Cornwall",22.5579377024529,0.386377615254094,18.7099644128114,0.484131151913379,423,1
"28","County Durham",26.5489657074596,0.958628124054965,23.5432409739714,1.20116103944087,79,1
"29","Coventry",29.3274294548459,2.60812562128077,15.9979253112033,3.2679814034648,19,1
"30","Croydon",28.3144398196801,0.780891498828304,22.1660079051383,0.978457048031865,137,1
"31","Cumbria",27.985790157586,0.395959442316323,23.5432409739714,0.496137181222353,472,1
"32","Darlington",35.8069252610749,1.67852825737392,28.0680680680681,2.10319590648953,45,1
"33","Derby",26.7526230633523,0.795119701033781,20.3334915646675,0.996284985395328,170,1
"34","Derbyshire",30.4584953068075,0.670240149725158,24.1724137931034,0.839810907605622,241,1
"35","Devon",22.7291403017058,0.517979446335128,14.6528734544078,0.649028246257915,164,1
"36","Doncaster",35.7797191117969,0.677770146521553,28.5539714867617,0.849245993591506,315,1
"37","Dorset",26.3195113566795,1.01226248798467,20.5974534769833,1.26836489744479,51,1
"38","Dudley",26.2695687127563,0.964347101190063,22.3011664899258,1.20832691779115,73,1
"39","Ealing",29.5085759215113,0.93355665603049,25.5475969198088,1.1697464900062,82,1
"40","East Riding of Yorkshire",32.3943778810704,1.18500323364338,28.054034034034,1.48480905175515,44,1
"41","East Sussex",25.1386559239965,0.534103687362546,19.3488075649542,0.669231920265271,216,1
"42","Enfield",28.6318137839599,0.692986919810476,19.5446096654275,0.868312610522526,191,1
"43","Essex",31.4166320599479,0.378966066840922,24.9910873440285,0.474844481751675,561,1
"44","Gateshead",23.4558567872416,1.71906390087432,21.5913757700205,2.15398706779552,15,1
"45","Gloucestershire",26.7356629263737,0.405664782194309,22.2893481717011,0.508297972089469,305,1
"46","Greenwich",30.2672826504028,0.994562259271877,27.0553572725191,1.24618651086766,124,1
"47","Hackney",24.1764240267859,0.71488071405615,18.160621761658,0.895745534712355,159,1
"48","Halton",43.0342215924622,3.01403130459402,40.9941520467836,3.77658122465631,31,1
"49","Hammersmith and Fulham",27.2577080716458,0.959218388511113,18.3955014058107,1.20190064080442,91,1
"50","Hampshire",31.1291789528152,0.662936906058231,25.2158273381295,0.830659943290964,139,1
"51","Haringey",23.9708763473309,0.684668512166327,16.7170111287758,0.857889645744407,137,1
"52","Harrow",35.7423898027071,1.10077018173087,27.9282868525896,1.37926503770878,57,1
"53","Hartlepool",38.7115263489272,2.94184320932815,17.784355179704,3.68612954128817,23,1
"54","Havering",43.3403487229477,1.73687526830868,33.9934771323811,2.17630471119078,34,1
"55","Herefordshire",33.4089434867271,1.33965001148214,26.8874732146639,1.67858146438712,22,1
"56","Hertfordshire",27.3533696190055,0.521401848619138,22.2893481717011,0.653316516319779,170,1
"57","Hillingdon",29.6795270620649,1.84278900119497,28.0680680680681,2.3090146184973,25,1
"58","Hounslow",31.4428883299936,1.1997921980098,21.4811031664964,1.50333962410627,33,1
"59","Isle of Wight",33.670385497302,1.23919662385817,33.0996522204387,1.55271336969429,30,1
"60","Isles of Scilly",NA,0,NA,0,0,1
"61","Islington",26.3500325956923,1.16299531243188,22.2716441620334,1.45723312647714,61,1
"62","Kensington and Chelsea",34.4358745915466,2.85451437492277,23.2308809824023,3.57670651177823,16,1
"63","Kent",28.943980043448,0.425475189421478,24.2141623488774,0.533120412345111,373,1
"64","Kingston upon Hull",32.8187065144182,1.63496844337644,25.1354581673307,2.04861545955068,77,1
"65","Kingston upon Thames",21.150196568864,3.8708906819394,13.3432305566673,4.85022602447007,8,1
"66","Kirklees",27.3609726156344,0.682525215848205,24.2141623488774,0.855204095457801,149,1
"67","Knowsley",33.6612394614306,1.40768138218637,26.2546816479401,1.76382477187952,63,1
"68","Lambeth",28.0088711620122,0.826099983479661,25.0133809099019,1.03510327930001,120,1
"69","Lancashire",28.3576667431429,0.333450566627574,22.2893481717011,0.417813559984351,778,1
"70","Leeds",23.3992116066839,0.455477358262045,15.2111533252091,0.570713129902343,312,1
"71","Leicester",23.6364106188004,0.487116106694446,20.0859598853868,0.610356481688141,151,1
"72","Leicestershire",32.8893812520948,0.703360653363319,26.7047619047619,0.881310898664239,163,1
"73","Lewisham",27.4660148680532,0.5968141112237,22.2099880795533,0.747808081363296,200,1
"74","Lincolnshire",25.1063935658796,0.55713267824706,20.0285714285714,0.698087245843567,243,1
"75","Liverpool",29.302705634659,0.491977472474871,22.2952573308134,0.616447773011013,400,1
"76","Luton",41.9113842379363,2.03451196474067,28.788501026694,2.54924349182006,47,1
"77","Manchester",17.6610470446882,0.452648029345509,12.6079136690647,0.567167980769923,377,1
"78","Medway",34.8715104815782,1.19101280967156,27.4632713026445,1.49233905051847,75,1
"79","Merton",24.1744192920656,1.37683686990469,16.5440685045948,1.72517659799058,18,1
"80","Middlesbrough",38.7290654505207,0.886456717937411,31.3724224262196,1.11073026757558,156,1
"81","Milton Keynes",29.4572363844306,0.728257810656146,22.3070803500398,0.912507036752151,165,1
"82","Newcastle upon Tyne",36.9089265185545,0.994284459729152,29.9252934898613,1.24583842804063,145,1
"83","Newham",33.3007204293446,0.309490385248161,32.8183520599251,0.387791452715946,556,1
"84","Norfolk",24.1388429574352,0.496097956164828,17.9297247672131,0.621610739074529,236,1
"85","North East Lincolnshire",28.9326992688392,0.506156038823912,22.9131767109295,0.634213516646362,459,1
"86","North Lincolnshire",30.8552086964522,0.83526397447981,26.7047619047619,1.0465857600232,125,1
"87","North Somerset",22.4833705906953,1.45602061322444,22.6738544474393,1.82439382837023,5,1
"88","North Tyneside",34.9392400243625,1.13006469277833,26.2792877225867,1.41597106005124,61,1
"89","North Yorkshire",29.4240840950355,0.736244497052435,23.0857582733013,0.922514354806701,124,1
"90","Northamptonshire",30.5253643618531,0.496215381257089,26.5414684406218,0.621757872715133,326,1
"91","Northumberland",31.9132753014161,1.36595252276451,27.4632713026445,1.71153851102393,54,1
"92","Nottingham",28.241218753033,1.41723833977475,20.3467815395621,1.77579963973776,60,1
"93","Nottinghamshire",30.7943433659741,0.442887054738364,24.151593453919,0.55493747958717,372,1
"94","Oldham",36.1131432276553,1.79538168056307,24.6996644295302,2.24961324574553,27,1
"95","Oxfordshire",27.1395005980746,0.717227683650244,24.9910873440285,0.898686287613755,73,1
"96","Peterborough",24.6376486537376,1.38470051601794,14.1200192720572,1.73502974657047,46,1
"97","Plymouth",24.9598894949101,0.626367792872203,18.7600356824264,0.784838844468871,211,1
"98","Portsmouth",32.9158136064364,1.47195458882187,28.0680680680681,1.8443590997938,54,1
"99","Reading",NA,0,NA,0,0,1
"100","Redbridge",32.5545133163676,0.90638397780708,31.6495349214504,1.13569912419227,60,1
"101","Redcar and Cleveland",32.7306684193864,0.894049032127682,27.6924380238987,1.12024343725599,126,1
"102","Richmond upon Thames",30.0474080973376,1.39768613500841,25.5722965465682,1.75130072716554,10,1
"103","Rochdale",27.6155229486136,0.695799138542223,22.2716441620334,0.871836320593406,157,1
"104","Rotherham",27.306416025415,1.49554359629758,19.9252125627455,1.87391612616087,38,1
"105","Rutland",33.0221589626103,2.9049509846962,17.0947145441,3.63990358382434,12,1
"106","Salford",40.4714449273977,2.58265451865979,29.8143153526971,3.23606611188071,28,1
"107","Sandwell",32.2743614019873,1.02509571677433,26.8582375478927,1.28444493311824,167,1
"108","Sefton",36.7064948916347,0.773751232109625,35.1410990967705,0.96951029383336,164,1
"109","Sheffield",28.01540986254,0.606666033845693,22.2539682539682,0.760152540408654,184,1
"110","Shropshire",35.8450913346772,1.06001079299757,30.7764773801198,1.32819352362595,52,1
